Gericht,Aktenzeichen,Datum,Art,Rechtsgrundlage,Text,Schlagwort,Urteil,pagination,pagination-href
Verwaltungsgericht Minden,8 K 1536/90,05.03.1993,Urteil,Richtlinie 90/313/EWG (Umweltinformationsrichtlinie),"Nach Ablauf der Umsetzungsfrist der Umweltinformationsrichtlinie hat der Antragsteller einen unmittelbar auf die Richtlinie zu stütztenden Anspruch auf Zugang zu Analyseergebnissen von Probebohrungen im Bereich einer Altlast. Zwar ist die genaue Ausgestaltung des Zugangsanspruchs in der Richtlinie nicht geregelt, sie gibt aber einen nicht zu unterschreitenden Mindeststandard vor. Das Gericht verpflichtet den Beklagten insoweit zur Offenlegung der Verwaltungsvorgänge auf dem Wege der Akteneinsicht, weist die Klage aber im Hinblick auf den Wunsch des Klägers, eine schriftliche Auskunft zu erhalten, ab, da dies über den Mindeststandard der Richtlinie hinausgeht.",Auskunftserteilung,http://www.lda.brandenburg.de/media_fast/5955/VG_Minden_8_K_1536_90.pdf,35,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=680
Oberverwaltungsgericht Schleswig-Holstein,4 K 1/94,13.12.1994,Urteil,Umweltinformationsgesetz (Bund),"Ein Anspruch auf Einsicht in Akten eines energiewirtschaftlichen Nichtbeanstandungsverfahrens kann nicht auf das Umweltinformationsgesetz gestützt werden. Danach hat zwar jeder einen Anspruch auf freien Zugang zu Informationen über die Umwelt, die bei einer Behörde, die Umweltaufgaben wahrzunehmen hat, vorhanden sind. Hierzu zählt das beklagte Ministerium in seiner Funktion als Energieaufsichtsbehörde aber schon deshalb nicht, weil es im Rahmen seiner Prüfung ausschließlich auf die Gesichtspunkte der Sicherheit und Preiswürdigkeit der Energieversorgung abzustellen hat.","Anwendungsbereich/Zuständigkeit, Begriffsbestimmung",http://www.lda.brandenburg.de/media_fast/5955/OVG_SH_4_K_1_94.pdf,35,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=680
Oberverwaltungsgericht Nordrhein-Westfalen,20 A 1518/93,19.01.1995,Urteil,Umweltinformationsgesetz (Bund),"Weder die Umweltinformationsrichtlinie noch das seit der Entscheidung der Vorinstanz in Kraft getretene Umweltinformationsgesetz sehen ein Recht darauf vor, dass der Zugang zu Informationen durch deren schriftliche Mitteilung erfolgt. Das Oberverwaltungsgericht bestätigt mit der Zurückweisung der Berufung die Entscheidung der Vorinstanz.",Auskunftserteilung,http://www.lda.brandenburg.de/media_fast/5955/OVG_NW_20_A_1518_93.pdf,35,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=680
Verwaltungsgericht Schleswig-Holstein,12 A 170/93,30.06.1995,Urteil,Umweltinformationsgesetz (Bund),"Daten für die Vorausbeurteilung von Umweltauswirkungen einer Maßnahme (Lärmbelastung durch eine geplante Umgehungsstraße) stellen Umweltinformationen im Sinne des Umweltinformationsgesetzes dar. Auf Informationen darüber, wie die Entscheidung zu Stande gekommen ist, trifft dies jedoch nicht zu. Wer etwas wann entschieden hat, kennzeichnet nicht den Zustand der Umwelt oder umweltschützendes Handeln, sondern ist umweltneutral. Behördliche Stellungnahmen unterfallen dem Ausschlusstatbestand der ""Vertraulichkeit der Beratung"".","Begriffsbestimmung, Beratungsgeheimnis (behördlicher Entscheidungsprozess)",http://www.lda.brandenburg.de/media_fast/5955/VG_Schleswig_Holstein_12_A_170_93.pdf,35,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=680
Verwaltungsgericht München,16 K 93.4444,26.09.1995,Urteil,Umweltinformationsgesetz (Bund),"Die Geheimhaltungsbedürftigkeit ist von der informationspflichtigen Stelle zumindest soweit darzulegen, dass die Gründe für die Informationszugangsverweigerung noch als triftig erkannt werden, ohne dass geheimhaltungsbedürftige Daten preisgegeben werden. Das Urteil enthält Ausführungen zu Fragen einer offensichtlich missbräuchliche Antragstellung, zum Umgang mit Betriebs- und Geschäftsgeheimnissen und zum behördlichen Ermessen bezüglich der Art der Informationserteilung. Das Verwaltungsgericht verpflichtet die Beklagte zur Neubescheidung des Informationszugangsbegehrens.","Ablehnungsbegründung, Auskunftserteilung, Betriebs- und Geschäftsgeheimnisse, Drittbetroffenheit, Missbräuchliche Antragstellung, Prozessuales",http://www.lda.brandenburg.de/media_fast/5955/VG_Muenchen_16_K_93_4444.pdf,35,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=680
Bundesverwaltungsgericht,1 B 126.95,31.10.1995,Beschluss,Umweltinformationsgesetz (Bund),"Das Bundesverwaltungsgericht weist die Nichtzulassungsbeschwerde der Klägerin - einer Gemeinde - zurück und stellt fest, dass diese als öffentlich-rechtliche Gebietskörperschaft keinen Informationsanspruch auf der Grundlage des Umweltinformationsgesetzes hat. Trotz der Weite des Wortlautes des Gesetzes (""jeder"") ist der Gesetzgeber von einem Anspruch natürlicher und juristischer Personen ausgegangen, weil die Umweltinformationsrichtlinie nur das Verhältnis der Bürger zum Staat betrifft, nicht aber den Informationsfluss zwischen den Behörden.",Antragsberechtigung,http://www.lda.brandenburg.de/media_fast/5955/BVerwG_1_B_126_95.pdf,35,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=680
Verwaltungsgericht Freiburg,9 K 1341/95,08.11.1996,Urteil,Umweltinformationsgesetz (Bund),"Bei den Informationen eines Regierungspräsidiums über Abwassereinleitungen einer Betriebsstätte, unzulässige Einleitungen sowie darauf bezogene Angaben über Maßnahmen der Verwaltung handelt es sich um Umweltinformationen in Sinne des Umweltinformationsgesetzes. Auch sind Informationen über abgeschlossene Strafverfahren und Ordnungswidrigkeiten vom Inhalt des Zugangsanspruchs umfasst. Der Zugang ist nicht generell wegen eines laufenden strafrechtlichen Ermittlungsverfahrens ausgeschlossen; hierdurch begründet sich keine Sperrwirkung gegenüber solchen Informationen, die bereits vor Einleitung des Verfahrens bei der Behörde vorhanden waren. Das Verwaltungsgericht verpflichtet ein Regierungspräsidium, über den Einsichtsantrag neu zu entscheiden.","Anwendungsbereich/Zuständigkeit, Begriffsbestimmung, Schutz besonderer Verfahren, Strafverfolgung",http://www.lda.brandenburg.de/media_fast/5955/VG_Freiburg_9_K_1341_95.pdf,35,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=680
Bundesverwaltungsgericht,7 C 64.95,06.12.1996,Urteil,Umweltinformationsgesetz (Bund),"Das behördliche Ermessen hinsichtlich der zur Verfügung gestellten Informationsmittel besteht nur, wenn verschiedene Mittel dieselbe Informationseignung besitzen. Die Ablehnung einer beantragten Zugangsart bedarf gewichtiger Gründe. Der Klage auf schriftliche Erteilung einer Auskunft wird damit stattgegeben, nachdem die Vorinstanzen den Informationsanspruch auf die Form der Akteneinsicht beschränkt hatten.",Auskunftserteilung,http://www.lda.brandenburg.de/media_fast/5955/BVerwG_7_C_64_95.pdf,35,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=680
Gericht der Europäischen Union,T-105/95,05.03.1997,Urteil,Verhaltenskodex für den Zugang zu Rats- und Kommissionsdokumenten,"Die Ausnahmen vom Informationsanspruch müssen eng ausgelegt werden, um die Anwendung des allgemeinen Grundsatzes nicht zu beeinträchtigen. Die Kommission muss das Interesse des Bürgers am Informationszugang gegen ihr etwaiges eigenes Interesse an der Geheimhaltung ihrer Beratungen abwägen; im Hinblick auf die Belange der Mitgliedstaaten ist sie zur Ablehnung eines Informationsantrags gezwungen, wenn dies zum Schutz des öffentlichen Interesses erforderlich ist. Die Mitgliedstaaten dürfen in diesem Sinne zwar eine Vertraulichkeit erwarten, soweit es sich um Dokumente in Bezug auf solche Untersuchungen handelt, die zu einem Vertragsverletzungsverfahren führen könnten. Für jede Gruppe der entsprechenden Dokumenten sind aber die konkreten Verweigerungsgründe anzugeben. Das Gericht erklärt die Verweigerung der Kommission, Dokumente zur Prüfung eines Projekts (Errichtung Informationszentrum in einem Nationalpark) und insbesondere der Frage, ob für dieses Mittel aus dem Strukturfonds verwendet werden können, für nichtig, da die erforderliche Abwägung nicht stattgefunden hat und die Kommission sich den Geheimhaltungsbedarf der eigenen Beratungen geltend macht.","Beratungsgeheimnis (behördlicher Entscheidungsprozess), Interessenabwägung, Schutz besonderer Verfahren",http://www.lda.brandenburg.de/media_fast/5955/EuG_T_105_95.pdf,35,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=680
Oberverwaltungsgericht Niedersachsen,7 L 5672/96,19.11.1997,Urteil,Umweltinformationsgesetz (Bund),"Nicht jede entfernte Maßnahme, die mittelbar dem Schutz der Umwelt dient, ist vom Umweltinformationsbegriff des Umweltinformationsgesetzes umfasst. Lediglich mittelbar dem Schutz der Umwelt dienende Maßnahmen wie die hier strittige Förderung nach einem Wirtschaftsförderungsfonds (ökologischer Bereich) fallen somit nicht unter den Anwendungsbereich des Gesetzes; es besteht kein Anspruch auf Informationen zu den entsprechenden Bewilligungsverfahren.",Begriffsbestimmung,http://www.lda.brandenburg.de/media_fast/5955/OVG_NI_7_L_5672_96.pdf,35,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=680
